Date,Holiday,Type,Bank Holiday
2015/02/18,Ash Wednesday,Religious Date,FALSE
2015/03/01,St David's Day,Notable Date,FALSE
2015/03/15,Mothering Sunday (Mothers Day),Notable Date,FALSE
2015/03/17,St Patricks Day,Religious Date,FALSE
2015/03/29,British Summertime (BST) Begins,Notable Date,FALSE
2015/04/01,April Fool's Day,Notable Date,FALSE
2015/04/02,Maundy Thursday,Religious Date,FALSE
2015/04/03,Good Friday,Bank Holiday,TRUE
2015/04/05,Easter Sunday,Religious Date,FALSE
2015/04/06,Easter Monday,Bank Holiday,TRUE
2015/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2015/04/23,St George's Day,Religious Date,FALSE
2015/05/04,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2015/05/25,Spring Bank Holiday,Bank Holiday,TRUE
2015/06/14,Trooping the Colour,Notable Date,FALSE
2015/06/21,Father's Day,Notable Date,FALSE
2015/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2015/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2015/08/31,Summer Bank Holiday,Bank Holiday,TRUE
2015/10/25,British Summertime (BST) Ends,Notable Date,FALSE
2015/10/31,Halloween,Notable Date,FALSE
2015/11/01,All Saints Day,Religious Date,FALSE
2015/11/05,Guy Fawkes Night,Notable Date,FALSE
2015/11/08,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2015/11/30,St Andrew's Day,Religious Date,FALSE
2015/12/25,Christmas,Bank Holiday,TRUE
2015/12/28,Boxing Day,Bank Holiday,TRUE
2016/01/01,New Year's Day,Bank Holiday,TRUE
2016/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2016/01/27,Holocaust Memorial Day,Notable Date,FALSE
2016/02/09,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2016/02/10,Ash Wednesday,Religious Date,FALSE
2016/02/14,Valentines Day,Notable Date,FALSE
2016/03/01,St David's Day,Notable Date,FALSE
2016/03/06,Mothering Sunday (Mothers Day),Notable Date,FALSE
2016/03/17,St Patricks Day,Religious Date,FALSE
2016/03/24,Maundy Thursday,Religious Date,FALSE
2016/03/25,Good Friday,Bank Holiday,TRUE
2016/03/27,Easter Sunday,Religious Date,FALSE
2016/03/27,British Summertime (BST) Begins,Notable Date,FALSE
2016/03/28,Easter Monday,Bank Holiday,TRUE
2016/04/01,April Fool's Day,Notable Date,FALSE
2016/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2016/04/23,St George's Day,Religious Date,FALSE
2016/05/02,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2016/05/30,Spring Bank Holiday,Bank Holiday,TRUE
2016/06/14,Trooping the Colour,Notable Date,FALSE
2016/06/19,Father's Day,Notable Date,FALSE
2016/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2016/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2016/08/29,Summer Bank Holiday,Bank Holiday,TRUE
2016/10/30,British Summertime (BST) Ends,Notable Date,FALSE
2016/10/31,Halloween,Notable Date,FALSE
2016/11/01,All Saints Day,Religious Date,FALSE
2016/11/05,Guy Fawkes Night,Notable Date,FALSE
2016/11/13,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2016/11/30,St Andrew's Day,Religious Date,FALSE
2016/12/26,Boxing Day,Bank Holiday,TRUE
2016/12/27,Christmas,Bank Holiday,TRUE
2017/01/01,Hogmanay,Notable Date,FALSE
2017/01/02,New Year's Day,Bank Holiday,TRUE
2017/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2017/01/27,Holocaust Memorial Day,Notable Date,FALSE
2017/02/14,Valentines Day,Notable Date,FALSE
2017/02/28,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2017/03/01,Ash Wednesday,Religious Date,FALSE
2017/03/01,St David's Day,Notable Date,FALSE
2017/03/17,St Patricks Day,Religious Date,FALSE
2017/03/26,Mothering Sunday (Mothers Day),Notable Date,FALSE
2017/03/26,British Summertime (BST) Begins,Notable Date,FALSE
2017/04/01,April Fool's Day,Notable Date,FALSE
2017/04/13,Maundy Thursday,Religious Date,FALSE
2017/04/14,Good Friday,Bank Holiday,TRUE
2017/04/16,Easter Sunday,Religious Date,FALSE
2017/04/17,Easter Monday,Bank Holiday,TRUE
2017/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2017/04/23,St George's Day,Religious Date,FALSE
2017/05/01,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2017/05/29,Spring Bank Holiday,Bank Holiday,TRUE
2017/06/14,Trooping the Colour,Notable Date,FALSE
2017/06/18,Father's Day,Notable Date,FALSE
2017/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2017/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2017/08/28,Summer Bank Holiday,Bank Holiday,TRUE
2017/10/29,British Summertime (BST) Ends,Notable Date,FALSE
2017/10/31,Halloween,Notable Date,FALSE
2017/11/01,All Saints Day,Religious Date,FALSE
2017/11/05,Guy Fawkes Night,Notable Date,FALSE
2017/11/12,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2017/11/30,St Andrew's Day,Religious Date,FALSE
2017/12/25,Christmas,Bank Holiday,TRUE
2017/12/26,Boxing Day,Bank Holiday,TRUE
2018/01/01,New Year's Day,Bank Holiday,TRUE
2018/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2018/01/27,Holocaust Memorial Day,Notable Date,FALSE
